Domain Code;Domain;Area Code (M49);Area;Element Code;Element;Item Code (CPC);Item;Year Code;Year;Unit;Value;Flag;Flag Description;Note
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2017;2017;ha;3500;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2017;2017;kg/ha;714.3;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2017;2017;t;2500;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2018;2018;ha;1700;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2018;2018;kg/ha;558.8;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2018;2018;t;950;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2019;2019;ha;1700;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2019;2019;kg/ha;858.8;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2019;2019;t;1460;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2020;2020;ha;2700;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2020;2020;kg/ha;1063;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2020;2020;t;2870;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2021;2021;ha;3200;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2021;2021;kg/ha;1159.4;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2021;2021;t;3710;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2022;2022;ha;2700;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2022;2022;kg/ha;1063;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1654;Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw;2022;2022;t;2870;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1341;Apples;2014;2014;ha;100200;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1341;Apples;2014;2014;kg/ha;10831.8;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1341;Apples;2014;2014;t;1085350;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1341;Apples;2015;2015;ha;97300;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1341;Apples;2015;2015;kg/ha;12123;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1341;Apples;2015;2015;t;1179570;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1341;Apples;2016;2016;ha;91600;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1341;Apples;2016;2016;kg/ha;12000.4;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1341;Apples;2016;2016;t;1099240;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1341;Apples;2017;2017;ha;91200;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1341;Apples;2017;2017;kg/ha;11800.2;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1341;Apples;2017;2017;t;1076180;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1341;Apples;2018;2018;ha;91800;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1341;Apples;2018;2018;kg/ha;15929.8;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1341;Apples;2018;2018;t;1462360;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1341;Apples;2019;2019;ha;87700;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1341;Apples;2019;2019;kg/ha;13158.2;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1341;Apples;2019;2019;t;1153970;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1341;Apples;2020;2020;ha;85000;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1341;Apples;2020;2020;kg/ha;13112.6;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1341;Apples;2020;2020;t;1114570;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1341;Apples;2021;2021;ha;84400;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1341;Apples;2021;2021;kg/ha;15152.5;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1341;Apples;2021;2021;t;1278870;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1341;Apples;2022;2022;ha;76900;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1341;Apples;2022;2022;kg/ha;14683;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1341;Apples;2022;2022;t;1129120;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1343;Apricots;2014;2014;ha;8500;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1343;Apricots;2014;2014;kg/ha;7590.6;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1343;Apricots;2014;2014;t;64520;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1343;Apricots;2015;2015;ha;8200;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1343;Apricots;2015;2015;kg/ha;7914.6;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1343;Apricots;2015;2015;t;64900;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1343;Apricots;2016;2016;ha;7600;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1343;Apricots;2016;2016;kg/ha;10696.1;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1343;Apricots;2016;2016;t;81290;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1343;Apricots;2017;2017;ha;7800;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1343;Apricots;2017;2017;kg/ha;11112.8;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1343;Apricots;2017;2017;t;86680;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1343;Apricots;2018;2018;ha;7600;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1343;Apricots;2018;2018;kg/ha;14693.4;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1343;Apricots;2018;2018;t;111670;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1343;Apricots;2019;2019;ha;7600;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1343;Apricots;2019;2019;kg/ha;11007.9;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1343;Apricots;2019;2019;t;83660;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1343;Apricots;2020;2020;ha;7300;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1343;Apricots;2020;2020;kg/ha;9517.8;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1343;Apricots;2020;2020;t;69480;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1343;Apricots;2021;2021;ha;7400;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1343;Apricots;2021;2021;kg/ha;7681.1;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1343;Apricots;2021;2021;t;56840;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1343;Apricots;2022;2022;ha;6000;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1343;Apricots;2022;2022;kg/ha;8285;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1343;Apricots;2022;2022;t;49710;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5111;Stocks;2132;Asses;2014;2014;An;12000;E;Estimated value;
QCL;Crops and livestock products;804;Ukraine;5111;Stocks;2132;Asses;2015;2015;An;11937;I;Imputed value;
QCL;Crops and livestock products;804;Ukraine;5111;Stocks;2132;Asses;2016;2016;An;11856;I;Imputed value;
QCL;Crops and livestock products;804;Ukraine;5111;Stocks;2132;Asses;2017;2017;An;11845;I;Imputed value;
QCL;Crops and livestock products;804;Ukraine;5111;Stocks;2132;Asses;2018;2018;An;11869;I;Imputed value;
QCL;Crops and livestock products;804;Ukraine;5111;Stocks;2132;Asses;2019;2019;An;11945;I;Imputed value;
QCL;Crops and livestock products;804;Ukraine;5111;Stocks;2132;Asses;2020;2020;An;11961;I;Imputed value;
QCL;Crops and livestock products;804;Ukraine;5111;Stocks;2132;Asses;2021;2021;An;11956;I;Imputed value;
QCL;Crops and livestock products;804;Ukraine;5111;Stocks;2132;Asses;2022;2022;An;11951;I;Imputed value;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;115;Barley;2014;2014;ha;3003100;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;115;Barley;2014;2014;kg/ha;3012.2;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;115;Barley;2014;2014;t;9046060;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;115;Barley;2015;2015;ha;2805200;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;115;Barley;2015;2015;kg/ha;2954.6;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;115;Barley;2015;2015;t;8288380;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;115;Barley;2016;2016;ha;2859200;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;115;Barley;2016;2016;kg/ha;3300.1;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;115;Barley;2016;2016;t;9435710;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;115;Barley;2017;2017;ha;2501500;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;115;Barley;2017;2017;kg/ha;3312;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;115;Barley;2017;2017;t;8284890;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;115;Barley;2018;2018;ha;2484300;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;115;Barley;2018;2018;kg/ha;2958.2;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;115;Barley;2018;2018;t;7349140;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;115;Barley;2019;2019;ha;2609200;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;115;Barley;2019;2019;kg/ha;3417.4;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;115;Barley;2019;2019;t;8916780;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;115;Barley;2020;2020;ha;2374500;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;115;Barley;2020;2020;kg/ha;3216;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;115;Barley;2020;2020;t;7636340;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;115;Barley;2021;2021;ha;2472100;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;115;Barley;2021;2021;kg/ha;3817.4;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;115;Barley;2021;2021;t;9437020;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;115;Barley;2022;2022;ha;1740200;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;115;Barley;2022;2022;kg/ha;3222.7;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;115;Barley;2022;2022;t;5608170;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1701;Beans, dry;2014;2014;ha;28700;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1701;Beans, dry;2014;2014;kg/ha;1509.8;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1701;Beans, dry;2014;2014;t;43330;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1701;Beans, dry;2015;2015;ha;35500;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1701;Beans, dry;2015;2015;kg/ha;1351.5;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1701;Beans, dry;2015;2015;t;47980;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1701;Beans, dry;2016;2016;ha;35600;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1701;Beans, dry;2016;2016;kg/ha;1505.1;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1701;Beans, dry;2016;2016;t;53580;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1701;Beans, dry;2017;2017;ha;40400;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1701;Beans, dry;2017;2017;kg/ha;1592.3;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1701;Beans, dry;2017;2017;t;64330;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1701;Beans, dry;2018;2018;ha;40300;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1701;Beans, dry;2018;2018;kg/ha;1766.5;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1701;Beans, dry;2018;2018;t;71190;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1701;Beans, dry;2019;2019;ha;42000;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1701;Beans, dry;2019;2019;kg/ha;1530.5;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1701;Beans, dry;2019;2019;t;64280;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1701;Beans, dry;2020;2020;ha;48500;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1701;Beans, dry;2020;2020;kg/ha;1549.3;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1701;Beans, dry;2020;2020;t;75140;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1701;Beans, dry;2021;2021;ha;48400;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1701;Beans, dry;2021;2021;kg/ha;1648.6;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1701;Beans, dry;2021;2021;t;79790;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1701;Beans, dry;2022;2022;ha;37000;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1701;Beans, dry;2022;2022;kg/ha;1591.1;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1701;Beans, dry;2022;2022;t;58870;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;24310.01;Beer of barley, malted;2014;2014;t;2422370;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;24310.01;Beer of barley, malted;2015;2015;t;1948190;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;24310.01;Beer of barley, malted;2016;2016;t;1806640;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;24310.01;Beer of barley, malted;2017;2017;t;1790910;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;24310.01;Beer of barley, malted;2018;2018;t;1818520;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;24310.01;Beer of barley, malted;2019;2019;t;1816450;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;24310.01;Beer of barley, malted;2020;2020;t;1808300;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;24310.01;Beer of barley, malted;2021;2021;t;1728130;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5114;Stocks;2196;Bees;2014;2014;No;2873;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5114;Stocks;2196;Bees;2015;2015;No;2700;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5114;Stocks;2196;Bees;2016;2016;No;2600;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5114;Stocks;2196;Bees;2017;2017;No;2487;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5114;Stocks;2196;Bees;2018;2018;No;2642;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5114;Stocks;2196;Bees;2019;2019;No;2601;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5114;Stocks;2196;Bees;2020;2020;No;2633;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5114;Stocks;2196;Bees;2021;2021;No;2594;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5114;Stocks;2196;Bees;2022;2022;No;2686;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;02960.01;Beeswax;2018;2018;t;124.28;I;Imputed value;
QCL;Crops and livestock products;804;Ukraine;5510;Production;02960.01;Beeswax;2019;2019;t;211;E;Estimated value;
QCL;Crops and livestock products;804;Ukraine;5510;Production;02960.01;Beeswax;2020;2020;t;408;E;Estimated value;
QCL;Crops and livestock products;804;Ukraine;5510;Production;02960.01;Beeswax;2021;2021;t;492.01;I;Imputed value;
QCL;Crops and livestock products;804;Ukraine;5510;Production;02960.01;Beeswax;2022;2022;t;707.4;I;Imputed value;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;01355.01;Blueberries;2014;2014;ha;150;X;Figure from international organizations;Unofficial figure
QCL;Crops and livestock products;804;Ukraine;5412;Yield;01355.01;Blueberries;2014;2014;kg/ha;4666.7;X;Figure from international organizations;
QCL;Crops and livestock products;804;Ukraine;5510;Production;01355.01;Blueberries;2014;2014;t;700;X;Figure from international organizations;Unofficial figure
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;01355.01;Blueberries;2015;2015;ha;130;X;Figure from international organizations;Unofficial figure
QCL;Crops and livestock products;804;Ukraine;5412;Yield;01355.01;Blueberries;2015;2015;kg/ha;4615.4;X;Figure from international organizations;
QCL;Crops and livestock products;804;Ukraine;5510;Production;01355.01;Blueberries;2015;2015;t;600;X;Figure from international organizations;Unofficial figure
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;01355.01;Blueberries;2016;2016;ha;400;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;01355.01;Blueberries;2016;2016;kg/ha;3150;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;01355.01;Blueberries;2016;2016;t;1260;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;01355.01;Blueberries;2017;2017;ha;400;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;01355.01;Blueberries;2017;2017;kg/ha;3400;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;01355.01;Blueberries;2017;2017;t;1360;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;01355.01;Blueberries;2018;2018;ha;500;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;01355.01;Blueberries;2018;2018;kg/ha;2360;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;01355.01;Blueberries;2018;2018;t;1180;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;01355.01;Blueberries;2019;2019;ha;500;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;01355.01;Blueberries;2019;2019;kg/ha;4780;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;01355.01;Blueberries;2019;2019;t;2390;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;01355.01;Blueberries;2020;2020;ha;100;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;01355.01;Blueberries;2020;2020;kg/ha;6000;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;01355.01;Blueberries;2020;2020;t;600;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;01355.01;Blueberries;2021;2021;ha;100;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;01355.01;Blueberries;2021;2021;kg/ha;1400;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;01355.01;Blueberries;2021;2021;t;140;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;01355.01;Blueberries;2022;2022;ha;100;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;01355.01;Blueberries;2022;2022;kg/ha;1500;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;01355.01;Blueberries;2022;2022;t;150;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1702;Broad beans and horse beans, dry;2014;2014;ha;2200;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1702;Broad beans and horse beans, dry;2014;2014;kg/ha;2772.7;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1702;Broad beans and horse beans, dry;2014;2014;t;6100;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1702;Broad beans and horse beans, dry;2015;2015;ha;3200;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1702;Broad beans and horse beans, dry;2015;2015;kg/ha;2018.8;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1702;Broad beans and horse beans, dry;2015;2015;t;6460;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1702;Broad beans and horse beans, dry;2016;2016;ha;1400;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1702;Broad beans and horse beans, dry;2016;2016;kg/ha;2264.3;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5510;Production;1702;Broad beans and horse beans, dry;2016;2016;t;3170;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5312;Area harvested;1702;Broad beans and horse beans, dry;2017;2017;ha;3500;A;Official figure;
QCL;Crops and livestock products;804;Ukraine;5412;Yield;1702;Broad beans and horse beans, dry;2017;2017;kg/ha;2302.9;A;Official figure;
